id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
bBByVmEG/,bBByVmEG17,17,14,"Goal!  Real Madrid 1, Getafe 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the top right corner. Assisted by Mesut Ozil.",1,12.0,1,Real Madrid,Getafe,karim benzema,mesut ozil,,,13.0,1,1,3,1,1,1,0
bBByVmEG/,bBByVmEG75,75,69,"Goal!  Real Madrid 3, Getafe 1. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the bottom right corner. Assisted by Cristiano Ronaldo with a through ball following a fast break.",1,12.0,1,Real Madrid,Getafe,karim benzema,cristiano ronaldo,,,4.0,1,1,11,1,4,1,1
MXdukFe0/,MXdukFe096,96,73,"Goal!  Real Madrid 5, Rayo Vallecano 2. Karim Benzema (Real Madrid) right footed shot from outside the box to the bottom right corner. Assisted by Mesut Ozil.",1,12.0,1,Real Madrid,Rayo Vallecano,karim benzema,mesut ozil,,,4.0,1,1,15,1,1,1,0
tS8du8NA/,tS8du8NA7,7,5,"Goal!  Real Madrid 1, Villarreal 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom left corner. Assisted by Angel Di MarA­a with a through ball.",1,12.0,1,Real Madrid,Villarreal,karim benzema,angel di maria,,,3.0,1,1,3,1,4,1,0
AJYrgIcR/,AJYrgIcR69,69,63,"Goal!  Real Madrid 6, Osasuna 1. Karim Benzema (Real Madrid) left footed shot from the centre of the box to the centre of the goal. Assisted by FA¡bio CoentrA£o with a cross.",1,12.0,1,Real Madrid,Osasuna,karim benzema,fabio coentrao,,,5.0,1,1,3,2,2,1,0
AJYrgIcR/,AJYrgIcR85,85,81,"Goal!  Real Madrid 7, Osasuna 1. Karim Benzema (Real Madrid) left footed shot from the centre of the box to the top right corner. Assisted by Alvaro Arbeloa with a through ball.",1,12.0,1,Real Madrid,Osasuna,karim benzema,alvaro arbeloa,,,13.0,1,1,3,2,4,1,0
jeV5wtMl/,jeV5wtMl82,82,66,"Goal!  Real Madrid 4, Levante 2. Karim Benzema (Real Madrid) right footed shot from the left side of the box to the bottom right corner. Assisted by Cristiano Ronaldo.",1,12.0,1,Real Madrid,Levante,karim benzema,cristiano ronaldo,,,4.0,1,1,9,1,1,1,0
YmW4jJ5f/,YmW4jJ5f52,52,45,"Goal!  Real Madrid 2, Racing 0. Karim Benzema (Real Madrid) left footed shot from a difficult angle on the left to the centre of the goal. Assisted by Xabi Alonso following a set piece situation.",1,12.0,1,Real Madrid,Racing Santander,karim benzema,xabi alonso,,,5.0,1,1,7,2,1,2,0
YmW4jJ5f/,YmW4jJ5f102,102,89,"Goal!  Real Madrid 4, Racing 0. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the top right corner. Assisted by Sami Khedira.",1,12.0,1,Real Madrid,Racing Santander,karim benzema,sami khedira,,,13.0,1,1,11,1,1,1,0
E9YMTPgG/,E9YMTPgG36,36,35,"Goal!  Real Madrid 1, MA¡laga 0. Karim Benzema (Real Madrid) header from the right side of the six yard box to the bottom right corner. Assisted by Cristiano Ronaldo with a cross.",1,12.0,1,Real Madrid,Malaga,karim benzema,cristiano ronaldo,,,4.0,1,1,12,3,2,1,0
8pN7fM7L/,8pN7fM7L46,46,40,"Goal!  Real Madrid 3, Real Sociedad 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the centre of the goal. Assisted by Xabi Alonso.",1,12.0,1,Real Madrid,Real Sociedad,karim benzema,xabi alonso,,,5.0,1,1,3,1,1,1,0
8pN7fM7L/,8pN7fM7L61,61,49,"Goal!  Real Madrid 4, Real Sociedad 1. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the top left corner. Assisted by Sami Khedira with a through ball.",1,12.0,1,Real Madrid,Real Sociedad,karim benzema,sami khedira,,,12.0,1,1,3,1,4,1,0
2yY57aiR/,2yY57aiR10,10,7,"Goal!  Osasuna 0, Real Madrid 1. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the top left corner. Assisted by Cristiano Ronaldo with a cross.",1,12.0,2,Real Madrid,Osasuna,karim benzema,cristiano ronaldo,,,12.0,1,1,11,1,2,1,0
h8DfEyGi/,h8DfEyGi109,109,86,"Goal!  Real Madrid 3, Sporting GijA³n 1. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the bottom left corner. Assisted by Mesut Ozil with a through ball.",1,12.0,1,Real Madrid,Sporting Gijon,karim benzema,mesut ozil,,,3.0,1,1,11,1,4,1,0
IVzmuYTd/,IVzmuYTd43,43,48,"Goal!  Real Madrid 2, FC Sevilla 0. Karim Benzema (Real Madrid) right footed shot from very close range to the bottom right corner. Assisted by Angel Di MarA­a with a through ball.",1,12.0,1,Real Madrid,Sevilla,karim benzema,angel di maria,,,4.0,1,1,13,1,4,1,0
IVzmuYTd/,IVzmuYTd46,46,52,"Goal!  Real Madrid 3, FC Sevilla 0. Karim Benzema (Real Madrid) header from very close range to the top right corner. Assisted by Sergio Ramos with a cross following a fast break.",1,12.0,1,Real Madrid,Sevilla,karim benzema,sergio ramos,,,13.0,1,1,13,3,2,1,1
2y2zSItJ/,2y2zSItJ22,22,23,"Goal!  Real Madrid 2, Mallorca 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom right corner. Assisted by Gonzalo HiguaA­n.",1,12.0,1,Real Madrid,Mallorca,karim benzema,gonzalo higuain,,,4.0,1,1,3,1,1,1,0
biWb8viL/,biWb8viL14,14,13,"Goal!  Rayo Vallecano 0, Real Madrid 1. Karim Benzema (Real Madrid) right footed shot from very close range to the bottom right corner. Assisted by Angel Di MarA­a following a fast break.",1,12.0,2,Real Madrid,Rayo Vallecano,karim benzema,angel di maria,,,4.0,1,1,13,1,1,1,1
EXsiLKV2/,EXsiLKV250,50,32,"Goal!  Real Madrid 3, Athletic Bilbao 0. Karim Benzema (Real Madrid) left footed shot from the right side of the box to the top left corner. Assisted by JosA© CallejA³n following a set piece situation.",1,12.0,1,Real Madrid,Athletic Bilbao,karim benzema,jose callejon,,,12.0,1,1,11,2,1,2,0
IRe36XwO/,IRe36XwO11,11,12,"Goal!  Real Valladolid 1, Real Madrid 1. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom left corner. Assisted by JosA© CallejA³n.",1,12.0,2,Real Madrid,Real Valladolid,karim benzema,jose callejon,,,3.0,1,1,3,1,1,1,0
As8mGs7k/,As8mGs7k88,88,82,"Goal!  MA¡laga 3, Real Madrid 2. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom left corner. Assisted by Mesut Ozil.",1,12.0,2,Real Madrid,Malaga,karim benzema,mesut ozil,,,3.0,1,1,3,1,1,1,0
dEbNSKje/,dEbNSKje1,1,2,"Goal!  Real Madrid 1, Real Sociedad 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom left corner. Assisted by Sami Khedira with a through ball.",1,12.0,1,Real Madrid,Real Sociedad,karim benzema,sami khedira,,,3.0,1,1,3,1,4,1,0
2F9BHC4F/,2F9BHC4F18,18,18,"Goal!  Real Madrid 1, FC Sevilla 0. Karim Benzema (Real Madrid) right footed shot from very close range to the centre of the goal.",1,,1,Real Madrid,Sevilla,karim benzema,,,,5.0,1,1,13,1,0,1,0
4G7Ww0Hn/,4G7Ww0Hn3,3,6,"Goal!  Real Madrid 1, Barcelona 0. Karim Benzema (Real Madrid) right footed shot from very close range to the centre of the goal. Assisted by Morata with a cross.",1,12.0,1,Real Madrid,Barcelona,karim benzema,morata,,,5.0,1,1,13,1,2,1,0
Ae5j4dVi/,Ae5j4dVi100,100,90,"Goal!  Real Madrid 5, Mallorca 2. Karim Benzema (Real Madrid) left footed shot from very close range to the centre of the goal. Assisted by Gonzalo HiguaA­n.",1,12.0,1,Real Madrid,Mallorca,karim benzema,gonzalo higuain,,,5.0,1,1,13,2,1,1,0
Qo8uIwdJ/,Qo8uIwdJ64,64,57,"Goal!  Real Madrid 2, Real Betis 0. Karim Benzema (Real Madrid) left footed shot from the left side of the box to the bottom left corner. Assisted by Cristiano Ronaldo with a through ball following a fast break.",1,12.0,1,Real Madrid,Real Betis,karim benzema,cristiano ronaldo,,,3.0,1,1,9,2,4,1,1
0xxzxg4k/,0xxzxg4k49,49,45,"Goal!  Real Madrid 4, MA¡laga 2. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the centre of the goal. Assisted by Cristiano Ronaldo.",1,12.0,1,Real Madrid,Malaga,karim benzema,cristiano ronaldo,,,5.0,1,1,3,1,1,1,0
OvBe2kIf/,OvBe2kIf87,87,69,"Goal!  Real Madrid 3, Osasuna 2. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom left corner. Assisted by Mesut Ozil.",1,12.0,1,Real Madrid,Osasuna,karim benzema,mesut ozil,,,3.0,1,1,3,1,1,1,0
Sr2UfS8C/,Sr2UfS8C25,25,26,"Goal!  Real Madrid 1, Real Betis 1. Karim Benzema (Real Madrid) left footed shot from the left side of the box to the bottom right corner. Assisted by Isco with a through ball.",1,12.0,1,Real Madrid,Real Betis,karim benzema,isco,,,4.0,1,1,9,2,4,1,0
OdMVA8Zj/,OdMVA8Zj5,5,10,"Goal!  Granada CF 0, Real Madrid 1. Karim Benzema (Real Madrid) left footed shot from the centre of the box to the bottom left corner. Assisted by Cristiano Ronaldo.",1,12.0,2,Real Madrid,Granada,karim benzema,cristiano ronaldo,,,3.0,1,1,3,2,1,1,0
nyyOdjqp/,nyyOdjqp59,59,53,"Goal!  Real Madrid 4, FC Sevilla 2. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom right corner. Assisted by Gareth Bale following a fast break.",1,12.0,1,Real Madrid,Sevilla,karim benzema,gareth bale,,,4.0,1,1,3,1,1,1,1
nyyOdjqp/,nyyOdjqp97,97,80,"Goal!  Real Madrid 7, FC Sevilla 3. Karim Benzema (Real Madrid) header from the centre of the box to the bottom left corner. Assisted by Marcelo with a cross.",1,12.0,1,Real Madrid,Sevilla,karim benzema,marcelo,,,3.0,1,1,3,3,2,1,0
